city,state,pricesept2021,gdp,violentcrime2019,logPrice,logGDP,logCrime
Anchorage, AK,1090,23.245,3.581,6.993932975,3.146090055,1.275642091
Chandler, AZ,1450,237.47,0.593,7.279318835,5.4700413,-0.52256088
Gilbert, AZ,1660,237.47,0.245,7.414572881,5.4700413,-1.406497068
Glendale, AZ,1130,11.0377,0.863,7.029972912,2.401316686,-0.147340588
Mesa, AZ,1160,237.47,1.953,7.056175284,5.4700413,0.669366652
Phoenix, AZ,1260,237.473,11.803,7.138867,5.470053933,2.468353736
Scottsdale, AZ,1850,11.3208,0.415,7.522940918,2.426641742,-0.879476759
Tucson, AZ,840,42.169,3.775,6.733401892,3.741685354,1.328400383
Anaheim, CA,1820,24.3504,1.12,7.50659178,3.192548276,0.113328685
Bakersfield, CA,950,51.417,1.766,6.856461985,3.939968857,0.568717102
Fresno, CA,1160,46.009,0.243,7.056175284,3.82883703,-1.414693836
Long Beach, CA,1630,32.198,2.369,7.396335294,3.471904339,0.862467925
Los Angeles, CA,2100,960.25,29.4,7.649692624,6.867193667,3.380994674
Oakland, CA,2000,531.273,5.52,7.60090246,6.275276013,1.70837786
Sacramento, CA,1430,132.502,3.223,7.265429723,4.88659774,1.170312603
San Diego, CA,2100,222.273,5.215,7.649692624,5.403906356,1.651539088
San Francisco, CA,2800,531.247,5.933,7.937374696,6.275227073,1.780529987
San Jose, CA,2200,320.444,4.559,7.696212639,5.769707534,1.517103301
Santa Ana, CA,1810,22.9571,1.453,7.501082124,3.133627257,0.373630385
Aurora, CO,1200,202.456,2.799,7.090076836,5.310522579,1.029262211
Colorado Springs, CO,1090,34.323,2.806,6.993932975,3.535815683,1.031759982
Denver, CO,1610,202.456,5.459,7.383989458,5.310522579,1.697265623
Washington, DC,2210,492.13,6.896,7.700747795,6.198742909,1.930941533
Fort Lauderdale, FL,1740,327.129,1.098,7.461640392,5.790354589,0.093490343
Jacksonville, FL,1050,75.768,5.886,6.956545443,4.32767604,1.77257665
Miami, FL,1970,327.129,2.85,7.585788822,5.790354589,1.047318994
Orlando, FL,1400,128.416,2.157,7.244227516,4.855274994,0.768718367
St Petersburg, FL,1470,148.372,1.594,7.29301768,4.999722634,0.46624658
Tallahassee, FL,810,16.622,1.359,6.697034248,2.810727119,0.306749135
Tampa, FL,1410,148.372,1.622,7.251344983,4.999722634,0.483659956
Atlanta, GA,1640,371.827,0.262,7.402451521,5.918428692,-1.339410775
Augusta, GA,870,25.428,0.656,6.768493212,3.235850929,-0.42159449
Honolulu, HI,1530,61.094,2.638,7.333023014,4.112413662,0.970021054
Des Moines, IA,980,45.633,1.555,6.887552572,3.820631139,0.441475546
Boise, ID,1380,33.376,0.649,7.229838778,3.507837079,-0.432322562
Chicago, IL,1440,618.616,25.532,7.272398393,6.427484725,3.239932567
Indianapolis, IN,940,126.096,7.755,6.845879875,4.837043522,2.048337797
Wichita, KS,600,33.976,4.451,6.396929655,3.525654393,1.49312879
Lexington, KY,800,26.819,0.967,6.684611728,3.289110592,-0.033556784
Louisville, KY,910,64.569,4.64,6.8134446,4.167734419,1.534714366
Baton Rouge, LA,850,53.348,2.066,6.745236349,3.976836489,0.725614371
New Orleans, LA,1440,77.291,4.516,7.272398393,4.347577519,1.507626646
Shreveport, LA,680,21.555,1.462,6.522092798,3.070607808,0.379805361
Boston, MA,2410,423.726,4.244,7.787382026,6.04908702,1.445506221
Baltimore, MD,1260,188.615,11.101,7.138867,5.2397079,2.407035194
Detroit, MI,890,237.089,13.04,6.791221463,5.468435598,2.568021556
Minneapolis, MN,1190,242.537,3.99,7.081708586,5.491154276,1.383791231
Kansas City, MO,940,123.268,7.099,6.845879875,4.814360847,1.959953929
St Louis, MO,920,152.402,5.792,6.82437367,5.026521767,1.756477655
Charlotte, NC,1440,150.589,6.982,7.272398393,5.014554272,1.943335409
Durham, NC,1320,47.169,2.046,7.185387016,3.853736897,0.715886668
Greensboro, NC,800,38.58,2.44,6.684611728,3.652734007,0.891998039
Raleigh, NC,1240,84.679,1.222,7.122866659,4.438867637,0.200488861
Winston Salem, NC,870,30.879,2.011,6.768493212,3.430076341,0.698632111
Lincoln, NE,880,17.926,1.115,6.779921907,2.886252173,0.108854405
Omaha, NE,850,57.996,2.883,6.745236349,4.060374043,1.058831419
Newark, NJ,1250,1555.85,1.742,7.13089883,7.349777299,0.555033878
Albuquerque, NM,800,39.251,7.596,6.684611728,3.669976922,2.027621793
Henderson, NV,1490,15.6836,0.543,7.306531399,2.75261558,-0.610645959
Las Vegas, NV,1170,110.103,8.854,7.064759028,4.701416291,2.180869334
Reno, NV,1250,25.811,1.419,7.13089883,3.250800758,0.349952398
Buffalo, NY,1050,63.027,2.533,6.956545443,4.143563206,0.929404371
New York, NY,2950,1573.86,47.821,7.989560449,7.36128648,3.867464874
Rochester, NY,980,56.728,1.54,6.887552572,4.038267916,0.431782416
Syracuse, NY,860,37.721,1.129,6.756932389,3.630216969,0.121332285
Akron, OH,640,33.087,1.782,6.461468176,3.499140456,0.577736329
Cincinnati, OH,920,133.731,2.562,6.82437367,4.89583032,0.940788203
Cleveland, OH,1320,118.168,5.791,7.185387016,4.772107341,1.756304988
Columbus, OH,980,117.001,4.561,6.887552572,4.762182482,1.517541898
Oklahoma City, OK,800,79.298,4.751,6.684611728,4.373212908,1.558355122
Tulsa, OK,730,54.232,3.964,6.593044534,3.99327114,1.377253616
Portland, OR,1410,156.663,3.606,7.251344983,5.054097002,1.282599125
Philadelphia, PA,1390,401.232,14.433,7.237059026,5.994539814,2.669517251
Pittsburgh, PA,1180,145.53,0.12,7.073269717,4.980382251,-2.120263536
Providence, RI,1580,79.008,0.892,7.365180126,4.369549113,-0.114289146
Chattanooga, TN,1140,27.149,1.946,7.038783541,3.301340213,0.665775984
Knoxville, TN,940,39.784,1.259,6.845879875,3.683464821,0.230317755
Memphis, TN,900,68.353,12.367,6.802394763,4.224685454,2.515031635
Nashville, TN,1410,121.217,7.376,7.251344983,4.797582328,1.998231486
Arlington, TX,950,472.334,2.055,6.856461985,6.157686362,0.720275848
Austin, TX,1440,143.076,3.953,7.272398393,4.963375958,1.374474784
Corpus Christi, TX,840,21.95,2.616,6.733401892,3.08876714,0.961646434
Dallas, TX,1390,472.334,11.764,7.237059026,6.157686362,2.465044021
El Paso, TX,780,29.194,2.422,6.65929392,3.373963209,0.884593645
Fort Worth, TX,1090,472.334,4.068,6.993932975,6.157686362,1.403151478
Houston, TX,1160,472.104,25.257,7.056175284,6.1571993,3.229103345
Irving, TX,1210,14.6454,0.617,7.098375639,2.684126293,-0.482886255
Laredo, TX,760,12.349,0.836,6.633318433,2.513575088,-0.179126666
Lubbock, TX,670,13.165,2.613,6.507277712,2.577561793,0.960498987
Plano, TX,1370,17.257,0.431,7.222566019,2.848217858,-0.841647189
San Antonio, TX,1050,115.621,11.046,6.956545443,4.750317601,2.402068371
Salt Lake City, UT,1150,88.155,1.442,7.047517221,4.479096629,0.366031039
Chesapeake, VA,1050,9.28,1.112,6.956545443,2.227861547,0.106160196
Norfolk, VA,1050,89.523,1.325,6.956545443,4.494495576,0.281412459
Richmond, VA,1090,78.702,1.068,6.993932975,4.365668568,0.065787741
Virginia Beach, VA,1290,89.523,0.581,7.162397497,4.494495576,-0.543004522
Seattle, WA,1690,382.63,4.471,7.432483808,5.947068465,1.497612097
Spokane, WA,1000,26.873,1.52,6.907755279,3.291122065,0.418710335
Madison, WI,1250,46.327,0.94,7.13089883,3.835724944,-0.061875404
Milwaukee, WI,900,93.888,7.874,6.802394763,4.542102583,2.063566193
